id,name,location,shopping,resident,building,weekend,workday,worknight
B0FFF8PTJW,中国石油嘉定加油站,"121.285994,31.342961",2.777777778,18.43614441,3.789260739,10.70810939,4.950504218,10.80925769
B0FFFH9V7K,中国石油加油站,"121.264118,31.276065",0.511111111,1.438492063,0.626623377,0.986352814,0.673156566,0.99790404
B00156G8N3,中国石化明荣加油站(嘉行公路),"121.254317,31.414296",0,3.897943723,0.503968254,1.999368687,0.692175325,2.049765512
B0FFG9SNFS,中鸿石油,"121.338622,31.241893",2.332539683,15.0296176,7.180555556,9.165880231,6.511056999,9.650681818
B0FFFSH826,中国石油加油站(浏翔公路),"121.315992,31.341035",1,6.435714286,0.771825397,3.695039683,1.406666667,3.672222222
B00156G7RJ,中国石化靖黄加油站(金园六路),"121.320177,31.256734",0,4.242929293,3.5,2.471464646,2.524292929,2.821464646
B00156G749,中国石化疁东加油站(新成路派出所东),"121.280228,31.391599",1.667171717,17.06778222,2.5750111,9.458260906,3.751936397,9.549044844
B00156GO7W,中国石化沪太加油站(和周路),"121.337446,31.424985",0.333333333,0,0,0.133333333,0.1,0.1
B0FFH0ZRD6,美孚换油中心,"121.372003,31.252025",1.31468254,12.8287518,5.166269841,7.456875902,4.777041847,7.842034632
B0FFG75T7L,中国海油加油站(格林豪泰酒店东),"121.337687,31.261359",1.589285714,10.5771645,4.709920635,6.3952886,4.360454545,6.707352092
B00151BE3F,中国海油星峰加油站,"121.338157,31.241226",2.903968254,15.65775613,7.35515873,9.725981241,6.850061328,10.17110029
B0FFHED6UP,中国石化加油站(玉满堂玉石文化博览馆南),"121.242476,31.271089",1.861111111,4.374206349,2.227813853,3.154329004,2.33244228,3.190999278
B00155HDZP,中国石油嘉定第4加油站(装修中),"121.315583,31.264692",1.846825397,15.70645743,4.604004329,9.052359307,4.88709596,9.328077201
B00156G7O9,中国石化曹王加油站,"121.331370,31.413348",0,0,0,0,0,0
B00156CKHB,中国石化加油站,"121.230560,31.317481",0.98452381,8.558333333,1.297222222,4.802698413,1.92952381,4.833968254
B00156DZOX,中国海油加油站(果园),"121.203281,31.34231",0.342857143,7.408247308,0.95,3.936266511,1.413681874,3.996980797
B00155DSRH,中国石化虹光加油站(丰翔路),"121.335686,31.304741",2.492857143,14.40277778,4.895238095,8.688055556,5.125277778,8.928293651
B00156G7QG,中国石化南翔加油站,"121.329221,31.295175",2.90952381,20.7968254,6.897619048,12.25198413,7.091111111,12.65079365
B00156G815,中国石化封浜加油站(星华公路),"121.304371,31.266786",0.311111111,3.707539683,0.95995671,2.074209957,1.040061328,2.139094517
B00155IK40,中国石化(百安加油站),"121.197642,31.314409",0,5.694047619,0.5,2.89702381,0.869404762,2.94702381
B00156GVE6,北方石油加油站,"121.286548,31.328538",2,10.67261905,3.063492063,6.44265873,3.505357143,6.549007937
B00156G8UO,中国石化加油站(翔江公路),"121.291974,31.295637",3.187301587,23.38452381,8.224242424,13.78960678,8.229188312,14.29330087
B00155DSSY,中国石化加油站(麦积路),"121.256721,31.323193",0.166666667,4.124206349,0.458333333,2.174603175,0.737420635,2.203769841
